Symbol,Date,Close,High,Low,Open,Volume
AAL,2018-01-01,52.03,52.03,52.03,52.03,0
AAL,2018-01-02,52.99,53.1,51.9,52.33,4084711
AAL,2018-01-03,52.34,52.86,52.055,52.86,5074850
AAL,2018-01-04,52.67,54.4,52.265,52.48,3557059
AAL,2018-01-05,52.65,52.8388,52.43,52.78,2967756
AAL,2018-01-08,52.13,52.64,51.93,52.6,3515785
AAL,2018-01-09,52.08,53.37,52.005,52.97,3426021
AAL,2018-01-10,53.78,54.02,52.88,53.23,7655771
AAL,2018-01-11,56.42,57.0,54.18,54.49,11339858
AAL,2018-01-12,58.47,58.73,56.56,56.56,7505761
AAL,2018-01-15,58.47,58.47,58.47,58.47,0
AAL,2018-01-16,57.98,59.08,57.53,58.79,5283872
AAL,2018-01-17,58.16,58.58,57.8,58.31,3148934
AAL,2018-01-18,58.34,58.71,57.56,58.0,3969309
AAL,2018-01-19,58.06,58.59,57.76,58.59,3151201
AAL,2018-01-22,58.1,58.34,57.5305,57.99,3553916
AAL,2018-01-23,58.29,58.46,57.4,57.74,3336991
AAL,2018-01-24,54.79,55.46,53.45,54.35,16348479
AAL,2018-01-25,53.05,54.55,52.21,54.0,10223096
AAL,2018-01-26,53.07,53.9,52.34,53.65,7066094
AAL,2018-01-29,52.68,53.16,52.585,52.79,5953675
AAL,2018-01-30,52.59,53.05,52.36,52.45,4741808
AAL,2018-01-31,54.32,54.71,53.0,53.08,5962937
AAL,2018-02-01,53.88,54.64,53.59,54.0,3623078
AAL,2018-02-02,52.1,53.99,52.03,53.49,5109361
AAL,2018-02-05,49.76,52.39,49.75,51.99,6878284
AAL,2018-02-06,51.18,51.5,48.79,49.32,6782480
AAL,2018-02-07,51.4,51.98,50.89,50.91,4845831
AAL,2018-02-08,48.6,51.46,48.51,51.44,5995091
AAL,2018-02-09,48.36,49.73,46.33,49.7,6837776
AAL,2018-02-12,50.09,50.51,48.65,48.79,5437809
AAL,2018-02-13,50.87,50.92,49.64,49.7,3758026
AAL,2018-02-14,51.07,51.56,50.11,50.24,4983225
AAL,2018-02-15,51.67,51.88,50.94,51.45,3140818
AAL,2018-02-16,51.58,52.205,51.53,51.8,3891284
AAL,2018-02-19,51.58,51.58,51.58,51.58,0
AAL,2018-02-20,51.72,52.23,51.1,51.23,3379786
AAL,2018-02-21,52.78,53.86,51.825,51.96,5396700
AAL,2018-02-22,52.98,53.41,52.6998,53.24,4356650
AAL,2018-02-23,53.39,53.48,52.72,53.3,3394712
AAL,2018-02-26,55.0,55.13,53.92,53.99,4962084
AAL,2018-02-27,54.26,55.6,54.24,54.89,4878444
AAL,2018-02-28,54.25,54.6,53.635,54.41,4343788
AAL,2018-03-01,53.48,55.31,53.2995,54.14,5895581
AAL,2018-03-02,53.18,53.415,51.87,52.9,4918160
AAL,2018-03-05,53.19,53.6939,52.69,52.9,3974757
AAL,2018-03-06,53.57,54.02,52.9,53.34,4273805
AAL,2018-03-07,54.11,54.17,53.04,53.12,3216908
AAL,2018-03-08,54.79,55.69,54.28,54.33,4189472
AAL,2018-03-09,56.07,56.08,54.65,55.05,3469410
AAL,2018-03-12,56.5,56.97,55.63,56.26,3256393
AAL,2018-03-13,56.23,57.44,56.03,56.86,4361800
AAL,2018-03-14,55.28,57.21,55.16,56.57,4267036
AAL,2018-03-15,55.17,55.56,54.93,55.35,2980508
AAL,2018-03-16,55.4,56.41,55.27,55.31,4574429
AAL,2018-03-19,54.62,55.69,54.19,55.33,3834281
AAL,2018-03-20,55.32,55.7,54.67,54.93,2555606
AAL,2018-03-21,54.09,54.61,53.165,54.21,4811620
AAL,2018-03-22,52.31,54.18,52.29,53.58,4871343
AAL,2018-03-23,51.01,53.1,50.99,52.63,3966029
AAL,2018-03-26,51.86,52.04,50.64,51.94,3210532
AAL,2018-03-27,50.9,52.35,50.55,52.3,2940697
AAL,2018-03-28,50.85,51.2615,50.05,50.9,4177492
AAL,2018-03-29,51.96,52.4301,51.03,51.3,3074062
AAL,2018-03-30,51.96,51.96,51.96,51.96,0
AAL,2018-04-02,49.78,51.95,48.96,51.77,4185804
AAL,2018-04-03,51.47,51.55,49.57,50.23,3863347
AAL,2018-04-04,52.04,52.1,50.51,50.6,3955029
AAL,2018-04-05,52.14,53.08,51.83,52.5,3060904
AAL,2018-04-06,50.29,51.96,49.81,51.71,4302567
AAL,2018-04-09,49.82,50.86,49.74,50.5,4330098
AAL,2018-04-10,47.46,50.57,47.21,50.52,12815485
AAL,2018-04-11,45.4,47.46,45.37,47.15,10151133
AAL,2018-04-12,46.57,46.8,45.505,46.03,7040424
AAL,2018-04-13,45.87,47.05,45.75,46.75,5226252
AAL,2018-04-16,46.4,46.94,45.81,46.13,4516335
AAL,2018-04-17,45.75,47.03,45.62,46.75,6961108
AAL,2018-04-18,47.76,48.38,46.05,46.5,9170727
AAL,2018-04-19,46.88,47.77,46.41,47.53,5759268
AAL,2018-04-20,46.78,47.24,46.4358,46.91,5344735
AAL,2018-04-23,46.68,47.19,46.12,46.85,4221685
AAL,2018-04-24,45.69,47.17,45.11,46.72,3954263
AAL,2018-04-25,45.25,45.93,43.89,45.67,7847645
AAL,2018-04-26,42.37,43.8,40.65,43.49,20517346
AAL,2018-04-27,43.4,43.48,42.325,42.55,6955237
AAL,2018-04-30,42.93,43.81,42.76,43.5,6472855
AAL,2018-05-01,43.36,43.46,42.56,42.86,5341232
AAL,2018-05-02,42.24,43.41,42.19,43.23,6314448
AAL,2018-05-03,42.11,42.49,41.54,42.25,4700541
AAL,2018-05-04,42.86,43.45,41.75,41.75,5540878
AAL,2018-05-07,42.44,43.23,42.1235,42.92,5330964
AAL,2018-05-08,43.0,44.01,42.33,42.33,7766568
AAL,2018-05-09,41.5,43.16,41.47,42.93,8273671
AAL,2018-05-10,42.04,42.46,41.51,41.51,7931613
AAL,2018-05-11,42.6,42.66,42.02,42.08,6066657
AAL,2018-05-14,42.46,43.09,42.2,42.75,4201557
AAL,2018-05-15,43.19,43.4,41.6,42.02,6909578
AAL,2018-05-16,44.06,44.91,43.04,43.13,7493568
AAL,2018-05-17,43.63,44.512,43.49,43.9,5334099
AAL,2018-05-18,43.38,43.76,43.035,43.56,4216067
AAL,2018-05-21,44.28,44.7939,43.63,43.74,4930221
AAL,2018-05-22,42.88,45.04,42.83,44.5,6892448
AAL,2018-05-23,42.8,42.87,42.27,42.64,3915939
AAL,2018-05-24,43.56,43.89,42.7584,42.94,3850068
AAL,2018-05-25,44.91,45.82,43.8,43.82,6517255
AAL,2018-05-28,44.91,44.91,44.91,44.91,0
AAL,2018-05-29,43.59,45.15,43.22,44.6,4531779
AAL,2018-05-30,43.3,43.825,42.66,43.68,5376770
AAL,2018-05-31,43.54,44.71,42.97,43.4,8459484
AAL,2018-06-01,44.0,44.09,43.35,44.05,5472271
AAL,2018-06-04,44.86,45.01,43.96,44.04,5685162
AAL,2018-06-05,44.18,45.0213,43.81,44.78,4975326
AAL,2018-06-06,44.19,44.23,42.88,43.45,6502470
AAL,2018-06-07,43.84,44.48,43.45,44.28,3728997
AAL,2018-06-08,43.11,43.969,42.96,43.96,6273041
AAL,2018-06-11,44.16,44.93,43.25,43.25,6440746
AAL,2018-06-12,43.41,44.3,43.09,44.23,5204620
AAL,2018-06-13,42.92,43.69,42.83,43.39,5988999
AAL,2018-06-14,43.08,43.49,42.8,43.06,4019333
AAL,2018-06-15,42.77,43.11,42.32,43.06,7031967
AAL,2018-06-18,42.44,42.68,41.94,42.63,5372079
AAL,2018-06-19,41.51,42.21,41.09,42.03,5575306
AAL,2018-06-20,42.03,42.34,41.35,41.65,4930567
AAL,2018-06-21,41.49,42.5,41.37,42.03,5025339
AAL,2018-06-22,41.35,42.41,41.02,41.46,9115147
AAL,2018-06-25,39.68,41.27,39.29,41.09,7126433
AAL,2018-06-26,39.09,39.96,38.99,39.87,6021827
